Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.6760      -278580.382  -278590.508       10.126   567.7
0.6770      -278580.345  -278590.533       10.188   571.1
0.6780      -278580.388  -278590.526       10.137   568.3
0.6790      -278580.369  -278590.457       10.088   565.5
0.6800      -278580.258  -278590.233        9.975   559.2
0.6810      -278580.518  -278590.353        9.835   551.4
0.6820      -278580.567  -278590.311        9.744   546.3
0.6830      -278580.481  -278590.160        9.679   542.6
0.6840      -278580.409  -278590.065        9.657   541.4
0.6850      -278580.571  -278590.198        9.627   539.7
0.6860      -278580.630  -278590.265        9.635   540.1
0.6870      -278580.695  -278590.277        9.582   537.2
0.6880      -278580.645  -278590.173        9.528   534.2
0.6890      -278580.675  -278590.094        9.420   528.1
0.6900      -278580.590  -278589.952        9.362   524.8
0.6910      -278580.669  -278589.956        9.287   520.6
0.6920      -278580.789  -278589.890        9.101   510.2
0.6930      -278580.834  -278589.779        8.945   501.5
0.6940      -278580.803  -278589.616        8.813   494.0
0.6950      -278580.765  -278589.505        8.739   489.9
0.6960      -278580.740  -278589.429        8.689   487.1
0.6970      -278580.691  -278589.355        8.665   485.7
0.6980      -278580.683  -278589.360        8.678   486.5
0.6990      -278580.752  -278589.470        8.718   488.7
0.7000      -278580.781  -278589.509        8.728   489.3
0.7010      -278580.727  -278589.488        8.761   491.2
0.7020      -278580.700  -278589.493        8.792   492.9
0.7030      -278580.719  -278589.570        8.850   496.2
0.7040      -278580.839  -278589.677        8.838   495.5
0.7050      -278580.785  -278589.659        8.874   497.5
0.7060      -278580.752  -278589.674        8.922   500.2
0.7070      -278580.766  -278589.698        8.932   500.7
0.7080      -278580.710  -278589.686        8.976   503.2
0.7090      -278580.783  -278589.718        8.935   500.9
0.7100      -278580.784  -278589.735        8.951   501.8
0.7110      -278580.713  -278589.743        9.030   506.2
0.7120      -278580.873  -278589.942        9.069   508.4
0.7130      -278580.849  -278590.021        9.171   514.2
0.7140      -278580.985  -278590.129        9.145   512.6
0.7150      -278581.000  -278590.168        9.168   514.0
0.7160      -278580.935  -278590.088        9.153   513.1
0.7170      -278581.028  -278590.143        9.115   511.0
0.7180      -278581.044  -278590.101        9.057   507.7
0.7190      -278581.092  -278590.182        9.090   509.6
0.7200      -278581.166  -278590.214        9.048   507.2
0.7210      -278581.114  -278590.154        9.040   506.8
0.7220      -278581.098  -278590.125        9.027   506.0
0.7230      -278581.065  -278590.127        9.062   508.0
0.7240      -278581.047  -278590.214        9.167   513.9
0.7250      -278581.038  -278590.266        9.228   517.3
0.7260      -278581.063  -278590.327        9.264   519.3
0.7270      -278581.024  -278590.399        9.375   525.6
0.7280      -278581.019  -278590.376        9.357   524.6
0.7290      -278581.124  -278590.434        9.310   521.9
0.7300      -278581.197  -278590.487        9.290   520.8
0.7310      -278581.206  -278590.439        9.233   517.6
0.7320      -278581.195  -278590.351        9.155   513.2
0.7330      -278581.193  -278590.261        9.068   508.4
0.7340      -278581.185  -278590.206        9.021   505.7
0.7350      -278581.154  -278590.123        8.969   502.8
0.7360      -278581.127  -278590.114        8.987   503.8
0.7370      -278581.263  -278590.229        8.966   502.7
0.7380      -278581.190  -278590.270        9.080   509.0
0.7390      -278581.096  -278590.209        9.113   510.9
0.7400      -278581.088  -278590.295        9.207   516.2
0.7410      -278581.110  -278590.420        9.310   521.9
0.7420      -278581.057  -278590.504        9.447   529.6
0.7430      -278581.096  -278590.592        9.496   532.4
0.7440      -278581.123  -278590.666        9.543   535.0
0.7450      -278581.184  -278590.742        9.558   535.8
0.7460      -278581.115  -278590.767        9.652   541.1
0.7470      -278581.059  -278590.761        9.702   543.9
0.7480      -278580.904  -278590.691        9.787   548.7
0.7490      -278581.034  -278590.910        9.876   553.6
0.7500      -278581.151  -278591.151       10.000   560.6
0.7510      -278581.088  -278591.256       10.168   570.0
0.7520      -278580.999  -278591.310       10.311   578.0
0.7530      -278581.038  -278591.449       10.411   583.7
0.7540      -278580.991  -278591.519       10.527   590.2
0.7550      -278580.965  -278591.530       10.565   592.3
0.7560      -278580.995  -278591.598       10.604   594.5
0.7570      -278580.971  -278591.600       10.629   595.9
0.7580      -278581.070  -278591.605       10.535   590.6
0.7590      -278581.145  -278591.536       10.391   582.5
0.7600      -278581.118  -278591.454       10.336   579.5
0.7610      -278581.121  -278591.323       10.203   572.0
0.7620      -278581.199  -278591.196        9.997   560.5
0.7630      -278581.311  -278591.139        9.828   551.0
0.7640      -278581.357  -278591.000        9.643   540.6
0.7650      -278581.262  -278590.810        9.549   535.3
0.7660      -278581.375  -278590.780        9.405   527.3
0.7670      -278581.461  -278590.728        9.267   519.5
0.7680      -278581.530  -278590.671        9.141   512.5
0.7690      -278581.498  -278590.612        9.115   511.0
0.7700      -278581.522  -278590.582        9.061   507.9
0.7710      -278581.549  -278590.597        9.047   507.2
0.7720      -278581.414  -278590.467        9.053   507.5
0.7730      -278581.498  -278590.543        9.045   507.0
0.7740      -278581.628  -278590.655        9.027   506.0
0.7750      -278581.582  -278590.605        9.022   505.8
0.7760      -278581.590  -278590.582        8.992   504.1
0.7770      -278581.568  -278590.562        8.994   504.2
0.7780      -278581.563  -278590.588        9.026   506.0
0.7790      -278581.489  -278590.554        9.065   508.2
0.7800      -278581.505  -278590.582        9.076   508.8
0.7810      -278581.489  -278590.615        9.126   511.6
0.7820      -278581.546  -278590.638        9.092   509.7
0.7830      -278581.512  -278590.584        9.072   508.6
0.7840      -278581.469  -278590.608        9.139   512.3
0.7850      -278581.545  -278590.632        9.087   509.4
0.7860      -278581.502  -278590.624        9.122   511.4
0.7870      -278581.486  -278590.596        9.111   510.7
0.7880      -278581.427  -278590.589        9.162   513.6
0.7890      -278581.417  -278590.556        9.139   512.3
0.7900      -278581.398  -278590.518        9.120   511.3
0.7910      -278581.440  -278590.505        9.065   508.2
0.7920      -278581.405  -278590.444        9.039   506.7
0.7930      -278581.406  -278590.434        9.028   506.1
0.7940      -278581.423  -278590.400        8.977   503.2
0.7950      -278581.411  -278590.407        8.996   504.3
0.7960      -278581.539  -278590.475        8.937   501.0
0.7970      -278581.567  -278590.474        8.908   499.4
0.7980      -278581.564  -278590.471        8.907   499.4
0.7990      -278581.527  -278590.458        8.931   500.7
0.8000      -278581.539  -278590.543        9.004   504.8
0.8010      -278581.489  -278590.595        9.106   510.5
0.8020      -278581.587  -278590.726        9.139   512.3
0.8030      -278581.593  -278590.768        9.175   514.3
0.8040      -278581.541  -278590.733        9.193   515.3
0.8050      -278581.574  -278590.695        9.120   511.3
0.8060      -278581.594  -278590.656        9.063   508.1
0.8070      -278581.585  -278590.590        9.006   504.9
0.8080      -278581.409  -278590.360        8.950   501.8
0.8090      -278581.423  -278590.265        8.842   495.7
0.8100      -278581.455  -278590.174        8.718   488.8
0.8110      -278581.433  -278590.025        8.592   481.7
0.8120      -278581.328  -278589.849        8.520   477.7
0.8130      -278581.320  -278589.781        8.461   474.3
0.8140      -278581.431  -278589.887        8.456   474.0
0.8150      -278581.415  -278589.945        8.530   478.2
0.8160      -278581.330  -278589.974        8.644   484.6
0.8170      -278581.189  -278590.046        8.857   496.5
0.8180      -278581.310  -278590.308        8.998   504.5
0.8190      -278581.378  -278590.582        9.204   516.0
0.8200      -278581.373  -278590.681        9.308   521.8
0.8210      -278581.349  -278590.776        9.427   528.5
0.8220      -278581.382  -278590.846        9.464   530.6
0.8230      -278581.363  -278590.924        9.561   536.0
0.8240      -278581.295  -278590.860        9.566   536.3
0.8250      -278581.294  -278590.835        9.542   534.9
0.8260      -278581.305  -278590.887        9.582   537.2
0.8270      -278581.360  -278590.895        9.535   534.5
0.8280      -278581.378  -278590.864        9.486   531.8
0.8290      -278581.327  -278590.816        9.489   532.0
0.8300      -278581.274  -278590.795        9.521   533.7
0.8310      -278581.400  -278590.882        9.483   531.6
0.8320      -278581.372  -278590.879        9.507   533.0
0.8330      -278581.258  -278590.840        9.582   537.2
0.8340      -278581.246  -278590.875        9.629   539.8
0.8350      -278581.329  -278590.960        9.631   539.9
0.8360      -278581.372  -278591.055        9.683   542.8
0.8370      -278581.376  -278591.104        9.729   545.4
0.8380      -278581.306  -278591.107        9.800   549.4
0.8390      -278581.419  -278591.249        9.830   551.1
0.8400      -278581.336  -278591.220        9.885   554.1
0.8410      -278581.330  -278591.196        9.865   553.1
0.8420      -278581.286  -278591.184        9.898   554.9
0.8430      -278581.423  -278591.234        9.811   550.0
0.8440      -278581.467  -278591.286        9.820   550.5
0.8450      -278581.431  -278591.203        9.771   547.8
0.8460      -278581.470  -278591.202        9.732   545.6
0.8470      -278581.435  -278591.060        9.625   539.6
0.8480      -278581.448  -278591.032        9.584   537.3
0.8490      -278581.570  -278591.075        9.505   532.9
0.8500      -278581.538  -278591.026        9.488   531.9
0.8510      -278581.440  -278590.945        9.505   532.8
0.8520      -278581.338  -278590.816        9.478   531.3
0.8530      -278581.462  -278590.892        9.430   528.7
0.8540      -278581.481  -278590.936        9.455   530.1
0.8550      -278581.466  -278590.944        9.478   531.3
0.8560      -278581.516  -278590.936        9.420   528.1
0.8570      -278581.437  -278590.890        9.452   529.9
0.8580      -278581.475  -278590.933        9.459   530.3
0.8590      -278581.520  -278590.905        9.386   526.2
0.8600      -278581.531  -278590.847        9.317   522.3
0.8610      -278581.568  -278590.797        9.230   517.4
0.8620      -278581.467  -278590.661        9.194   515.4
0.8630      -278581.421  -278590.555        9.134   512.1
0.8640      -278581.480  -278590.534        9.054   507.6
0.8650      -278581.519  -278590.484        8.964   502.5
0.8660      -278581.558  -278590.445        8.887   498.2
0.8670      -278581.547  -278590.342        8.795   493.1
0.8680      -278581.635  -278590.359        8.724   489.1
0.8690      -278581.645  -278590.343        8.698   487.6
0.8700      -278581.688  -278590.291        8.603   482.3
0.8710      -278581.652  -278590.314        8.663   485.6
0.8720      -278581.718  -278590.374        8.656   485.3
0.8730      -278581.734  -278590.401        8.667   485.9
0.8740      -278581.602  -278590.326        8.724   489.1
0.8750      -278581.572  -278590.317        8.744   490.2
0.8760      -278581.703  -278590.420        8.717   488.7
0.8770      -278581.682  -278590.370        8.687   487.0
0.8780      -278581.656  -278590.290        8.634   484.0
0.8790      -278581.578  -278590.165        8.588   481.4
0.8800      -278581.703  -278590.192        8.489   475.9
0.8810      -278581.627  -278590.125        8.498   476.4
0.8820      -278581.660  -278590.101        8.441   473.2
0.8830      -278581.622  -278590.029        8.406   471.3
0.8840      -278581.628  -278590.002        8.374   469.4
0.8850      -278581.667  -278590.007        8.340   467.5
0.8860      -278581.751  -278590.021        8.270   463.6
0.8870      -278581.720  -278590.085        8.365   468.9
0.8880      -278581.812  -278590.150        8.338   467.4
0.8890      -278581.742  -278590.099        8.358   468.5
0.8900      -278581.752  -278590.105        8.353   468.3
0.8910      -278581.773  -278590.154        8.381   469.8
0.8920      -278581.839  -278590.238        8.399   470.8
0.8930      -278581.831  -278590.228        8.396   470.7
0.8940      -278581.760  -278590.183        8.423   472.2
0.8950      -278581.861  -278590.283        8.422   472.2
0.8960      -278581.840  -278590.212        8.372   469.3
0.8970      -278581.820  -278590.224        8.404   471.2
0.8980      -278581.863  -278590.314        8.452   473.8
0.8990      -278581.817  -278590.214        8.397   470.8
0.9000      -278581.922  -278590.280        8.358   468.6
0.9010      -278582.029  -278590.379        8.350   468.1
0.9020      -278582.081  -278590.452        8.371   469.3
0.9030      -278582.130  -278590.649        8.519   477.6
0.9040      -278582.107  -278590.665        8.558   479.8
0.9050      -278582.136  -278590.778        8.642   484.5
0.9060      -278582.143  -278590.929        8.785   492.5
0.9070      -278582.190  -278591.068        8.877   497.7
0.9080      -278582.089  -278591.115        9.026   506.0
0.9090      -278582.124  -278591.240        9.116   511.0
0.9100      -278582.079  -278591.340        9.260   519.1
0.9110      -278582.031  -278591.467        9.436   529.0
0.9120      -278582.097  -278591.642        9.545   535.1
0.9130      -278582.160  -278591.797        9.637   540.3
0.9140      -278582.186  -278591.900        9.713   544.5
0.9150      -278582.199  -278591.923        9.724   545.1
0.9160      -278582.160  -278591.893        9.733   545.6
0.9170      -278582.216  -278591.976        9.760   547.1
0.9180      -278582.240  -278591.951        9.711   544.4
0.9190      -278582.151  -278591.826        9.675   542.4
0.9200      -278582.375  -278592.016        9.641   540.5
0.9210      -278582.263  -278591.927        9.665   541.8
0.9220      -278582.150  -278591.869        9.719   544.8
0.9230      -278582.148  -278591.855        9.707   544.2
0.9240      -278582.208  -278591.913        9.704   544.0
0.9250      -278582.204  -278591.938        9.735   545.7
0.9260      -278582.263  -278592.017        9.753   546.8
0.9270      -278582.270  -278592.072        9.802   549.5
0.9280      -278582.378  -278592.117        9.740   546.0
0.9290      -278582.376  -278592.144        9.768   547.6
0.9300      -278582.321  -278592.182        9.861   552.8
0.9310      -278582.324  -278592.182        9.858   552.6
0.9320      -278582.364  -278592.209        9.845   551.9
0.9330      -278582.295  -278592.087        9.792   548.9
0.9340      -278582.391  -278592.139        9.748   546.5
0.9350      -278582.439  -278592.097        9.658   541.4
0.9360      -278582.419  -278591.994        9.576   536.8
0.9370      -278582.353  -278591.910        9.557   535.8
0.9380      -278582.377  -278591.856        9.479   531.4
0.9390      -278582.264  -278591.752        9.489   531.9
0.9400      -278582.196  -278591.629        9.433   528.8
0.9410      -278582.285  -278591.634        9.348   524.1
0.9420      -278582.309  -278591.630        9.321   522.5
0.9430      -278582.275  -278591.603        9.327   522.9
0.9440      -278582.225  -278591.464        9.239   518.0
0.9450      -278582.147  -278591.294        9.147   512.8
0.9460      -278582.263  -278591.333        9.070   508.5
0.9470      -278582.219  -278591.225        9.006   504.9
0.9480      -278582.214  -278591.149        8.935   500.9
0.9490      -278582.218  -278591.062        8.844   495.8
0.9500      -278582.301  -278591.082        8.781   492.3
0.9510      -278582.303  -278591.034        8.731   489.5
0.9520      -278582.248  -278590.928        8.679   486.6
0.9530      -278582.240  -278590.851        8.611   482.7
0.9540      -278582.352  -278590.824        8.472   474.9
0.9550      -278582.306  -278590.733        8.427   472.4
0.9560      -278582.269  -278590.592        8.323   466.6
0.9570      -278582.303  -278590.563        8.261   463.1
0.9580      -278582.305  -278590.487        8.182   458.7
0.9590      -278582.228  -278590.356        8.128   455.7
0.9600      -278582.233  -278590.258        8.025   449.9
0.9610      -278582.177  -278590.115        7.938   445.0
0.9620      -278582.280  -278590.048        7.768   435.5
0.9630      -278582.253  -278589.931        7.678   430.4
0.9640      -278582.306  -278589.842        7.537   422.5
0.9650      -278582.194  -278589.682        7.488   419.8
0.9660      -278582.296  -278589.688        7.392   414.4
0.9670      -278582.257  -278589.588        7.331   411.0
0.9680      -278582.226  -278589.584        7.358   412.5
0.9690      -278582.270  -278589.639        7.369   413.1
0.9700      -278582.217  -278589.618        7.400   414.9
0.9710      -278582.171  -278589.632        7.461   418.3
0.9720      -278582.165  -278589.709        7.544   422.9
0.9730      -278582.142  -278589.792        7.650   428.8
0.9740      -278582.192  -278589.863        7.671   430.1
0.9750      -278582.264  -278589.975        7.711   432.3
0.9760      -278582.260  -278590.007        7.747   434.3
0.9770      -278582.214  -278590.064        7.850   440.1
0.9780      -278582.241  -278590.119        7.878   441.6
0.9790      -278582.307  -278590.173        7.865   440.9
0.9800      -278582.307  -278590.200        7.893   442.5
0.9810      -278582.298  -278590.176        7.878   441.6
0.9820      -278582.327  -278590.161        7.834   439.2
0.9830      -278582.282  -278590.104        7.822   438.5
0.9840      -278582.349  -278590.164        7.814   438.1
0.9850      -278582.320  -278590.153        7.833   439.1
0.9860      -278582.224  -278590.078        7.854   440.3
0.9870      -278582.175  -278590.002        7.827   438.8
0.9880      -278582.174  -278590.004        7.830   438.9
0.9890      -278582.196  -278590.047        7.852   440.2
0.9900      -278582.172  -278590.063        7.891   442.4
0.9910      -278582.121  -278590.022        7.901   443.0
0.9920      -278582.054  -278589.971        7.917   443.8
0.9930      -278582.037  -278590.008        7.971   446.9
0.9940      -278582.157  -278590.166        8.010   449.0
0.9950      -278582.196  -278590.249        8.053   451.4
0.9960      -278582.190  -278590.246        8.056   451.6
0.9970      -278582.228  -278590.359        8.131   455.8
0.9980      -278582.268  -278590.488        8.221   460.9
0.9990      -278582.252  -278590.544        8.292   464.8
1.0000      -278582.232  -278590.596        8.364   468.9
