      Step     Time          Energy          fmax
FIRE:    0 22:33:40    -7745.107647         1.092296
FIRE:    1 22:33:50    -7745.127676         0.878236
FIRE:    2 22:34:01    -7745.150915         0.487124
FIRE:    3 22:34:11    -7745.158219         0.203929
FIRE:    4 22:34:21    -7745.158334         0.195783
FIRE:    5 22:34:31    -7745.158546         0.180402
FIRE:    6 22:34:42    -7745.158822         0.159751
FIRE:    7 22:34:52    -7745.159128         0.135461
FIRE:    8 22:35:02    -7745.159428         0.105590
FIRE:    9 22:35:12    -7745.159691         0.071829
FIRE:   10 22:35:23    -7745.159904         0.081545
FIRE:   11 22:35:33    -7745.160096         0.093595
FIRE:   12 22:35:44    -7745.160294         0.099246
FIRE:   13 22:35:54    -7745.160534         0.095511
FIRE:   14 22:36:04    -7745.160835         0.080884
FIRE:   15 22:36:14    -7745.161161         0.056725
FIRE:   16 22:36:25    -7745.161419         0.038141
FIRE:   17 22:36:36    -7745.161538         0.048204
FIRE:   18 22:36:46    -7745.161562         0.053743
FIRE:   19 22:36:57    -7745.161578         0.049801
FIRE:   20 22:37:09    -7745.161604         0.042201
FIRE:   21 22:37:20    -7745.161635         0.031502
FIRE:   22 22:37:31    -7745.161662         0.019087
