      Step     Time          Energy          fmax
FIRE:    0 12:30:24   -30939.972674         1.927851
FIRE:    1 12:31:31   -30940.068323         1.760652
FIRE:    2 12:32:01   -30940.220660         1.447942
FIRE:    3 12:32:33   -30940.374981         1.059229
FIRE:    4 12:33:01   -30940.482469         0.742678
FIRE:    5 12:33:36   -30940.520025         0.866911
FIRE:    6 12:34:03   -30940.525796         0.837581
FIRE:    7 12:34:34   -30940.536332         0.780563
FIRE:    8 12:35:10   -30940.549866         0.700760
FIRE:    9 12:35:43   -30940.564295         0.604645
FIRE:   10 12:36:16   -30940.577685         0.501762
FIRE:   11 12:36:43   -30940.588774         0.407367
FIRE:   12 12:37:11   -30940.597271         0.338390
FIRE:   13 12:37:38   -30940.604322         0.299389
FIRE:   14 12:38:06   -30940.610396         0.282644
FIRE:   15 12:38:34   -30940.615721         0.309259
FIRE:   16 12:39:00   -30940.619621         0.317718
FIRE:   17 12:39:35   -30940.621113         0.291468
FIRE:   18 12:40:10   -30940.621702         0.285397
FIRE:   19 12:40:45   -30940.622817         0.273288
FIRE:   20 12:41:21   -30940.624342         0.255276
FIRE:   21 12:41:56   -30940.626118         0.231658
FIRE:   22 12:42:31   -30940.627968         0.202975
FIRE:   23 12:43:06   -30940.629713         0.170049
FIRE:   24 12:43:42   -30940.631201         0.133968
FIRE:   25 12:44:17   -30940.632416         0.092069
FIRE:   26 12:44:52   -30940.633166         0.053339
FIRE:   27 12:45:27   -30940.633357         0.080520
FIRE:   28 12:46:02   -30940.633375         0.079906
FIRE:   29 12:46:37   -30940.633409         0.078688
FIRE:   30 12:47:13   -30940.633460         0.076886
FIRE:   31 12:47:48   -30940.633523         0.074530
FIRE:   32 12:48:23   -30940.633597         0.071657
FIRE:   33 12:49:00   -30940.633679         0.068314
FIRE:   34 12:49:35   -30940.633765         0.064550
FIRE:   35 12:50:11   -30940.633863         0.059967
FIRE:   36 12:50:46   -30940.633970         0.054484
FIRE:   37 12:51:21   -30940.634085         0.048052
FIRE:   38 12:51:57   -30940.634204         0.040676
FIRE:   39 12:52:26   -30940.634327         0.033156
FIRE:   40 12:52:56   -30940.634459         0.037263
FIRE:   41 12:53:26   -30940.634604         0.040265
FIRE:   42 12:54:01   -30940.634768         0.040843
FIRE:   43 12:54:36   -30940.634952         0.039626
FIRE:   44 12:55:12   -30940.635152         0.035366
FIRE:   45 12:55:47   -30940.635357         0.027777
