      Step     Time          Energy          fmax
FIRE:    0 22:45:20    -7728.018229         4.216968
FIRE:    1 22:46:33    -7728.432434         3.918642
FIRE:    2 22:47:25    -7729.168034         3.266438
FIRE:    3 22:48:27    -7729.992339         2.895697
FIRE:    4 22:49:28    -7730.491989         2.799487
FIRE:    5 22:50:27    -7730.578332         3.145020
FIRE:    6 22:51:23    -7730.637726         2.905503
FIRE:    7 22:52:14    -7730.742409         2.467359
FIRE:    8 22:53:04    -7730.869701         2.256502
FIRE:    9 22:53:57    -7730.996331         2.092272
FIRE:   10 22:54:52    -7731.105498         1.893073
FIRE:   11 22:55:51    -7731.188779         1.647076
FIRE:   12 22:56:48    -7731.246930         1.355765
FIRE:   13 22:57:45    -7731.288971         1.048271
FIRE:   14 22:58:44    -7731.317277         1.227625
FIRE:   15 22:59:43    -7731.335965         1.269883
FIRE:   16 23:00:40    -7731.340490         1.249480
FIRE:   17 23:01:37    -7731.349247         1.208835
FIRE:   18 23:02:35    -7731.361675         1.148216
FIRE:   19 23:03:32    -7731.376974         1.068191
FIRE:   20 23:04:29    -7731.394156         0.969573
FIRE:   21 23:05:26    -7731.412091         0.854108
FIRE:   22 23:06:23    -7731.429617         0.739205
FIRE:   23 23:07:20    -7731.447246         0.698516
FIRE:   24 23:08:17    -7731.463373         0.665148
FIRE:   25 23:09:15    -7731.476520         0.646906
FIRE:   26 23:10:08    -7731.486535         0.647378
FIRE:   27 23:11:01    -7731.495649         0.701627
FIRE:   28 23:11:53    -7731.508047         0.782866
FIRE:   29 23:12:49    -7731.527993         0.745061
FIRE:   30 23:13:42    -7731.557208         0.667575
FIRE:   31 23:14:35    -7731.592623         0.563529
FIRE:   32 23:15:28    -7731.627318         0.532208
FIRE:   33 23:16:24    -7731.658112         0.561777
FIRE:   34 23:17:22    -7731.691278         0.614789
FIRE:   35 23:18:20    -7731.735576         0.585402
FIRE:   36 23:19:19    -7731.786498         0.396726
FIRE:   37 23:20:12    -7731.822400         0.413641
FIRE:   38 23:21:03    -7731.839597         0.411127
FIRE:   39 23:21:55    -7731.845796         0.426695
FIRE:   40 23:22:47    -7731.847693         0.407855
FIRE:   41 23:23:41    -7731.851138         0.371380
FIRE:   42 23:24:33    -7731.855566         0.320294
FIRE:   43 23:25:23    -7731.860408         0.260675
FIRE:   44 23:26:14    -7731.865304         0.247682
FIRE:   45 23:27:03    -7731.870185         0.261283
FIRE:   46 23:27:53    -7731.875179         0.265842
FIRE:   47 23:28:47    -7731.881059         0.262723
FIRE:   48 23:29:39    -7731.888165         0.258298
FIRE:   49 23:30:31    -7731.896822         0.260839
FIRE:   50 23:31:23    -7731.907266         0.276289
FIRE:   51 23:32:13    -7731.919610         0.302299
FIRE:   52 23:33:01    -7731.934636         0.326588
FIRE:   53 23:33:51    -7731.953293         0.325075
FIRE:   54 23:34:41    -7731.974749         0.302750
FIRE:   55 23:35:31    -7731.996696         0.240019
FIRE:   56 23:36:23    -7732.014101         0.232671
FIRE:   57 23:37:15    -7732.017956         0.306696
FIRE:   58 23:38:07    -7732.019822         0.290335
FIRE:   59 23:39:01    -7732.023047         0.258049
FIRE:   60 23:39:51    -7732.026789         0.211701
FIRE:   61 23:40:41    -7732.030150         0.154779
FIRE:   62 23:41:34    -7732.032458         0.090856
FIRE:   63 23:42:26    -7732.033405         0.054657
FIRE:   64 23:43:20    -7732.033167         0.069346
FIRE:   65 23:44:14    -7732.033197         0.068170
FIRE:   66 23:45:06    -7732.033256         0.065881
FIRE:   67 23:46:00    -7732.033338         0.062573
FIRE:   68 23:46:52    -7732.033436         0.058425
FIRE:   69 23:47:44    -7732.033542         0.053635
FIRE:   70 23:48:39    -7732.033651         0.048467
FIRE:   71 23:49:33    -7732.033754         0.043214
FIRE:   72 23:50:25    -7732.033855         0.037657
FIRE:   73 23:51:17    -7732.033948         0.032367
FIRE:   74 23:52:09    -7732.034027         0.028126
