      Step     Time          Energy          fmax
FIRE:    0 02:17:24    -7740.961425         2.755264
FIRE:    1 02:17:34    -7741.060925         2.598540
FIRE:    2 02:17:43    -7741.223446         2.274738
FIRE:    3 02:17:51    -7741.392582         1.773886
FIRE:    4 02:18:02    -7741.517973         1.095331
FIRE:    5 02:18:13    -7741.574667         1.363431
FIRE:    6 02:18:23    -7741.580763         1.303566
FIRE:    7 02:18:36    -7741.591772         1.182428
FIRE:    8 02:18:47    -7741.605496         1.001746
FIRE:    9 02:18:57    -7741.619139         0.768071
FIRE:   10 02:19:08    -7741.629958         0.494810
FIRE:   11 02:19:18    -7741.636093         0.349336
FIRE:   12 02:19:28    -7741.637620         0.474084
FIRE:   13 02:19:39    -7741.637797         0.469872
FIRE:   14 02:19:49    -7741.638144         0.461505
FIRE:   15 02:19:59    -7741.638650         0.449109
FIRE:   16 02:20:10    -7741.639296         0.432874
FIRE:   17 02:20:20    -7741.640060         0.413071
FIRE:   18 02:20:30    -7741.640918         0.390031
FIRE:   19 02:20:40    -7741.641845         0.364185
FIRE:   20 02:20:51    -7741.642921         0.332933
FIRE:   21 02:21:01    -7741.644140         0.296000
FIRE:   22 02:21:11    -7741.645487         0.253601
FIRE:   23 02:21:21    -7741.646954         0.206729
FIRE:   24 02:21:32    -7741.648546         0.212587
FIRE:   25 02:21:42    -7741.650306         0.244490
FIRE:   26 02:21:52    -7741.652318         0.265834
FIRE:   27 02:22:03    -7741.654690         0.270539
FIRE:   28 02:22:13    -7741.657492         0.253133
FIRE:   29 02:22:24    -7741.660686         0.209996
FIRE:   30 02:22:34    -7741.664073         0.146161
FIRE:   31 02:22:44    -7741.667387         0.146834
FIRE:   32 02:22:54    -7741.670566         0.159438
FIRE:   33 02:23:05    -7741.673788         0.145759
FIRE:   34 02:23:15    -7741.676876         0.102195
FIRE:   35 02:23:26    -7741.679004         0.089537
FIRE:   36 02:23:36    -7741.679733         0.099710
FIRE:   37 02:23:47    -7741.679795         0.090518
FIRE:   38 02:23:57    -7741.679897         0.073077
FIRE:   39 02:24:08    -7741.680003         0.049294
FIRE:   40 02:24:19    -7741.680078         0.026667
