      Step     Time          Energy          fmax
FIRE:    0 00:22:23    -7735.026331         1.078079
FIRE:    1 00:22:33    -7735.046425         0.857311
FIRE:    2 00:22:44    -7735.068818         0.458282
FIRE:    3 00:22:54    -7735.074054         0.283400
FIRE:    4 00:23:05    -7735.074269         0.270829
FIRE:    5 00:23:15    -7735.074658         0.246190
FIRE:    6 00:23:26    -7735.075146         0.210400
FIRE:    7 00:23:36    -7735.075645         0.165009
FIRE:    8 00:23:47    -7735.076071         0.112945
FIRE:    9 00:23:57    -7735.076374         0.082920
FIRE:   10 00:24:08    -7735.076561         0.103986
FIRE:   11 00:24:18    -7735.076705         0.118362
FIRE:   12 00:24:28    -7735.076883         0.121977
FIRE:   13 00:24:39    -7735.077172         0.112094
FIRE:   14 00:24:50    -7735.077581         0.087995
FIRE:   15 00:25:01    -7735.078009         0.060266
FIRE:   16 00:25:11    -7735.078271         0.036407
FIRE:   17 00:25:22    -7735.078301         0.074642
FIRE:   18 00:25:33    -7735.078321         0.070320
FIRE:   19 00:25:43    -7735.078357         0.061947
FIRE:   20 00:25:54    -7735.078400         0.050058
FIRE:   21 00:26:04    -7735.078440         0.035423
FIRE:   22 00:26:15    -7735.078469         0.019042
