      Step     Time          Energy          fmax
FIRE:    0 14:59:00   -30973.148198         1.859660
FIRE:    1 14:59:55   -30973.237092         1.711004
FIRE:    2 15:00:25   -30973.381549         1.427923
FIRE:    3 15:00:54   -30973.533306         1.071206
FIRE:    4 15:01:19   -30973.646324         0.751995
FIRE:    5 15:01:55   -30973.695376         0.831001
FIRE:    6 15:02:23   -30973.703896         1.046421
FIRE:    7 15:02:51   -30973.710671         1.008423
FIRE:    8 15:03:18   -30973.723197         0.934451
FIRE:    9 15:03:45   -30973.739613         0.828801
FIRE:   10 15:04:11   -30973.757564         0.698326
FIRE:   11 15:04:40   -30973.774642         0.552227
FIRE:   12 15:05:13   -30973.788844         0.403714
FIRE:   13 15:05:47   -30973.798975         0.272400
FIRE:   14 15:06:43   -30973.805266         0.212414
FIRE:   15 15:07:17   -30973.807562         0.273271
FIRE:   16 15:08:28   -30973.807843         0.271273
FIRE:   17 15:09:20   -30973.808389         0.267326
FIRE:   18 15:10:07   -30973.809171         0.261949
FIRE:   19 15:10:55   -30973.810150         0.254352
FIRE:   20 15:11:40   -30973.811275         0.245204
FIRE:   21 15:12:31   -30973.812491         0.234059
FIRE:   22 15:13:20   -30973.813742         0.221567
FIRE:   23 15:13:56   -30973.815106         0.205392
FIRE:   24 15:14:38   -30973.816519         0.185669
FIRE:   25 15:15:12   -30973.817900         0.161575
FIRE:   26 15:15:47   -30973.819170         0.132501
FIRE:   27 15:16:18   -30973.820283         0.098878
FIRE:   28 15:16:50   -30973.821250         0.120192
FIRE:   29 15:17:19   -30973.822129         0.134344
FIRE:   30 15:17:54   -30973.822970         0.136679
FIRE:   31 15:18:36   -30973.823759         0.123611
FIRE:   32 15:19:12   -30973.824408         0.095326
FIRE:   33 15:19:49   -30973.824804         0.081359
FIRE:   34 15:20:26   -30973.824901         0.092622
FIRE:   35 15:21:03   -30973.824962         0.090382
FIRE:   36 15:21:40   -30973.825078         0.086073
FIRE:   37 15:22:17   -30973.825236         0.080041
FIRE:   38 15:22:58   -30973.825419         0.072514
FIRE:   39 15:23:38   -30973.825613         0.064757
FIRE:   40 15:24:18   -30973.825802         0.057060
FIRE:   41 15:24:59   -30973.825978         0.049984
FIRE:   42 15:25:40   -30973.826151         0.043111
FIRE:   43 15:26:21   -30973.826320         0.036999
FIRE:   44 15:27:02   -30973.826478         0.034064
FIRE:   45 15:27:44   -30973.826619         0.030083
FIRE:   46 15:28:21   -30973.826724         0.023917
