      Step     Time          Energy          fmax
FIRE:    0 03:55:11    -7743.326774         1.017699
FIRE:    1 03:55:21    -7743.345467         0.821492
FIRE:    2 03:55:32    -7743.367294         0.464225
FIRE:    3 03:55:42    -7743.374345         0.187360
FIRE:    4 03:55:52    -7743.374447         0.179590
FIRE:    5 03:56:03    -7743.374633         0.164787
FIRE:    6 03:56:13    -7743.374873         0.144340
FIRE:    7 03:56:24    -7743.375133         0.119971
FIRE:    8 03:56:34    -7743.375380         0.093153
FIRE:    9 03:56:44    -7743.375595         0.064873
FIRE:   10 03:56:55    -7743.375770         0.074571
FIRE:   11 03:57:05    -7743.375927         0.088157
FIRE:   12 03:57:16    -7743.376084         0.095564
FIRE:   13 03:57:26    -7743.376271         0.093534
FIRE:   14 03:57:37    -7743.376507         0.080291
FIRE:   15 03:57:48    -7743.376764         0.057131
FIRE:   16 03:57:59    -7743.376968         0.036864
FIRE:   17 03:58:10    -7743.377057         0.041077
FIRE:   18 03:58:21    -7743.377070         0.049659
FIRE:   19 03:58:35    -7743.377084         0.045967
FIRE:   20 03:58:46    -7743.377108         0.038857
FIRE:   21 03:58:57    -7743.377136         0.028862
