      Step     Time          Energy          fmax
FIRE:    0 18:42:15   -30925.497622         3.108834
FIRE:    1 18:44:12   -30925.846542         2.928242
FIRE:    2 18:46:12   -30926.437491         2.576421
FIRE:    3 18:47:58   -30927.089133         2.208904
FIRE:    4 18:49:42   -30927.642839         1.966530
FIRE:    5 18:51:26   -30928.046383         1.677165
FIRE:    6 18:53:05   -30928.275570         1.485057
FIRE:    7 18:54:21   -30928.229623         2.311350
FIRE:    8 18:55:43   -30928.260820         2.169906
FIRE:    9 18:57:14   -30928.316672         1.903188
FIRE:   10 18:58:56   -30928.386035         1.542365
FIRE:   11 19:00:37   -30928.456289         1.127857
FIRE:   12 19:02:20   -30928.516463         0.705528
FIRE:   13 19:04:01   -30928.559549         0.453124
FIRE:   14 19:05:38   -30928.583756         0.393306
FIRE:   15 19:07:14   -30928.592551         0.504082
FIRE:   16 19:08:53   -30928.593197         0.499670
FIRE:   17 19:10:29   -30928.594468         0.490977
FIRE:   18 19:12:06   -30928.596319         0.478277
FIRE:   19 19:13:43   -30928.598688         0.462000
FIRE:   20 19:15:22   -30928.601498         0.442745
FIRE:   21 19:17:00   -30928.604658         0.421300
FIRE:   22 19:18:42   -30928.608073         0.398652
FIRE:   23 19:20:21   -30928.612031         0.373627
FIRE:   24 19:21:59   -30928.616480         0.348100
FIRE:   25 19:23:37   -30928.621318         0.325448
FIRE:   26 19:25:14   -30928.626398         0.310282
FIRE:   27 19:26:56   -30928.631568         0.306304
FIRE:   28 19:28:49   -30928.636733         0.312498
FIRE:   29 19:30:36   -30928.641911         0.320737
FIRE:   30 19:32:30   -30928.647238         0.322927
