      Step     Time          Energy          fmax
FIRE:    0 07:09:48    -7717.103830         3.408444
FIRE:    1 07:10:00    -7717.291284         3.149955
FIRE:    2 07:10:11    -7717.614084         2.563083
FIRE:    3 07:10:25    -7717.965376         2.061804
FIRE:    4 07:10:37    -7718.219875         2.210157
FIRE:    5 07:10:48    -7718.397657         2.637500
FIRE:    6 07:10:59    -7718.630498         2.557347
FIRE:    7 07:11:11    -7718.851935         1.780353
FIRE:    8 07:11:22    -7718.873634         1.296326
FIRE:    9 07:11:33    -7718.883265         1.246485
FIRE:   10 07:11:44    -7718.901026         1.150946
FIRE:   11 07:11:55    -7718.924254         1.019689
FIRE:   12 07:12:07    -7718.949734         0.871237
FIRE:   13 07:12:19    -7718.974421         0.734089
FIRE:   14 07:12:31    -7718.996241         0.639014
FIRE:   15 07:12:43    -7719.014301         0.591867
FIRE:   16 07:12:55    -7719.029790         0.549200
FIRE:   17 07:13:07    -7719.041864         0.463999
FIRE:   18 07:13:20    -7719.049066         0.383994
FIRE:   19 07:13:32    -7719.050583         0.491056
FIRE:   20 07:13:45    -7719.051231         0.483922
FIRE:   21 07:13:57    -7719.052500         0.469887
FIRE:   22 07:14:10    -7719.054344         0.449438
FIRE:   23 07:14:22    -7719.056694         0.423299
FIRE:   24 07:14:35    -7719.059472         0.392434
FIRE:   25 07:14:47    -7719.062592         0.358179
FIRE:   26 07:15:00    -7719.065975         0.339171
FIRE:   27 07:15:12    -7719.069941         0.334675
FIRE:   28 07:15:25    -7719.074516         0.329886
FIRE:   29 07:15:37    -7719.079743         0.324877
FIRE:   30 07:15:50    -7719.085702         0.319675
FIRE:   31 07:16:02    -7719.092537         0.315058
FIRE:   32 07:16:15    -7719.100458         0.310181
FIRE:   33 07:16:27    -7719.109752         0.303690
FIRE:   34 07:16:39    -7719.120853         0.292419
FIRE:   35 07:16:51    -7719.134207         0.280543
FIRE:   36 07:17:04    -7719.149627         0.267432
FIRE:   37 07:17:16    -7719.165375         0.211937
FIRE:   38 07:17:27    -7719.177942         0.161229
FIRE:   39 07:17:39    -7719.183409         0.124584
FIRE:   40 07:17:50    -7719.180814         0.216708
FIRE:   41 07:18:02    -7719.181408         0.207250
FIRE:   42 07:18:14    -7719.182474         0.189722
FIRE:   43 07:18:25    -7719.183833         0.166695
FIRE:   44 07:18:40    -7719.185328         0.167055
FIRE:   45 07:18:51    -7719.186858         0.164791
FIRE:   46 07:19:03    -7719.188335         0.141437
FIRE:   47 07:19:15    -7719.189621         0.100040
FIRE:   48 07:19:26    -7719.190617         0.061529
FIRE:   49 07:19:38    -7719.191112         0.080321
FIRE:   50 07:19:49    -7719.191162         0.095526
FIRE:   51 07:20:01    -7719.191188         0.091797
FIRE:   52 07:20:12    -7719.191236         0.084820
FIRE:   53 07:20:24    -7719.191299         0.075578
FIRE:   54 07:20:35    -7719.191370         0.065550
FIRE:   55 07:20:46    -7719.191442         0.056540
FIRE:   56 07:20:57    -7719.191512         0.050041
FIRE:   57 07:21:08    -7719.191580         0.046198
FIRE:   58 07:21:18    -7719.191653         0.043314
FIRE:   59 07:21:29    -7719.191732         0.039274
FIRE:   60 07:21:40    -7719.191808         0.032426
FIRE:   61 07:21:51    -7719.191873         0.023307
