      Step     Time          Energy          fmax
FIRE:    0 04:16:45    -7720.756844         4.152579
FIRE:    1 04:17:59    -7721.154936         3.872776
FIRE:    2 04:18:57    -7721.863719         3.266662
FIRE:    3 04:19:53    -7722.660895         2.678618
FIRE:    4 04:20:58    -7723.145266         2.567726
FIRE:    5 04:21:58    -7723.191496         2.957528
FIRE:    6 04:22:58    -7723.247184         2.741732
FIRE:    7 04:23:54    -7723.345433         2.345215
FIRE:    8 04:24:45    -7723.465116         2.146301
FIRE:    9 04:25:38    -7723.584548         2.001881
FIRE:   10 04:26:37    -7723.687756         1.831249
FIRE:   11 04:27:36    -7723.767423         1.632411
FIRE:   12 04:28:36    -7723.824601         1.395335
FIRE:   13 04:29:35    -7723.868680         1.101433
FIRE:   14 04:30:34    -7723.902662         1.227719
FIRE:   15 04:31:32    -7723.929807         1.273607
FIRE:   16 04:32:31    -7723.953326         1.190806
FIRE:   17 04:33:29    -7723.977620         1.659682
FIRE:   18 04:34:27    -7724.009701         1.878614
FIRE:   19 04:35:24    -7724.050995         1.620400
FIRE:   20 04:36:18    -7724.091752         1.328244
FIRE:   21 04:37:11    -7724.136450         1.336021
FIRE:   22 04:38:08    -7724.198949         1.280075
FIRE:   23 04:39:08    -7724.260941         0.926515
FIRE:   24 04:40:07    -7724.299780         0.931772
FIRE:   25 04:41:03    -7724.313066         0.842246
FIRE:   26 04:41:57    -7724.334612         0.684056
FIRE:   27 04:42:55    -7724.356208         0.477328
FIRE:   28 04:43:53    -7724.369925         0.290772
FIRE:   29 04:44:52    -7724.372602         0.400925
FIRE:   30 04:45:51    -7724.372998         0.389904
FIRE:   31 04:46:49    -7724.373749         0.368634
FIRE:   32 04:47:48    -7724.374787         0.338708
FIRE:   33 04:48:49    -7724.376017         0.302652
FIRE:   34 04:49:47    -7724.377338         0.264131
FIRE:   35 04:50:46    -7724.378656         0.228267
FIRE:   36 04:51:45    -7724.379898         0.201556
FIRE:   37 04:52:43    -7724.381142         0.189394
FIRE:   38 04:53:42    -7724.382369         0.196941
FIRE:   39 04:54:41    -7724.383635         0.217847
FIRE:   40 04:55:40    -7724.385084         0.238798
FIRE:   41 04:56:39    -7724.386908         0.248254
FIRE:   42 04:57:38    -7724.389258         0.239878
FIRE:   43 04:58:38    -7724.392136         0.215996
FIRE:   44 04:59:37    -7724.395334         0.193419
FIRE:   45 05:00:39    -7724.398598         0.196771
FIRE:   46 05:01:36    -7724.402022         0.212876
FIRE:   47 05:02:32    -7724.406116         0.203529
FIRE:   48 05:03:27    -7724.411063         0.172426
FIRE:   49 05:04:22    -7724.416394         0.180832
FIRE:   50 05:05:17    -7724.422392         0.198778
FIRE:   51 05:06:11    -7724.430306         0.167430
FIRE:   52 05:07:04    -7724.440193         0.166521
FIRE:   53 05:07:55    -7724.452744         0.190133
FIRE:   54 05:08:49    -7724.470811         0.222537
FIRE:   55 05:09:39    -7724.495203         0.268072
FIRE:   56 05:10:29    -7724.525085         0.249959
FIRE:   57 05:11:23    -7724.548425         0.210570
FIRE:   58 05:12:14    -7724.540924         0.428390
FIRE:   59 05:13:05    -7724.546829         0.350139
FIRE:   60 05:13:57    -7724.555089         0.233330
FIRE:   61 05:14:50    -7724.562126         0.185441
FIRE:   62 05:15:44    -7724.566292         0.123791
FIRE:   63 05:16:39    -7724.566781         0.103757
FIRE:   64 05:17:35    -7724.566878         0.097509
FIRE:   65 05:18:32    -7724.567050         0.086090
FIRE:   66 05:19:27    -7724.567264         0.071701
FIRE:   67 05:20:23    -7724.567481         0.057669
FIRE:   68 05:21:19    -7724.567674         0.047784
FIRE:   69 05:22:12    -7724.567828         0.043598
FIRE:   70 05:23:06    -7724.567944         0.042380
FIRE:   71 05:23:59    -7724.568034         0.040857
FIRE:   72 05:24:52    -7724.568096         0.039428
FIRE:   73 05:25:45    -7724.568135         0.040384
FIRE:   74 05:26:38    -7724.568171         0.041260
FIRE:   75 05:27:27    -7724.568228         0.035497
FIRE:   76 05:28:16    -7724.568314         0.033730
FIRE:   77 05:29:01    -7724.568420         0.033668
FIRE:   78 05:29:40    -7724.568536         0.024800
