      Step     Time          Energy          fmax
FIRE:    0 15:47:16   -30949.283565         3.179807
FIRE:    1 15:49:13   -30949.644091         2.986610
FIRE:    2 15:50:55   -30950.255371         2.627684
FIRE:    3 15:52:39   -30950.932074         2.257888
FIRE:    4 15:54:24   -30951.516188         2.025872
FIRE:    5 15:56:17   -30951.938395         1.615436
FIRE:    6 15:58:01   -30952.172281         1.480443
FIRE:    7 15:59:42   -30952.119089         2.310892
FIRE:    8 16:01:24   -30952.150914         2.166284
FIRE:    9 16:03:07   -30952.207840         1.895401
FIRE:   10 16:04:54   -30952.278464         1.530849
FIRE:   11 16:06:42   -30952.349933         1.114876
FIRE:   12 16:08:31   -30952.411151         0.697592
FIRE:   13 16:10:14   -30952.455001         0.458060
FIRE:   14 16:11:53   -30952.479436         0.380124
FIRE:   15 16:13:38   -30952.487830         0.521520
FIRE:   16 16:15:23   -30952.488487         0.517005
FIRE:   17 16:17:08   -30952.489777         0.508107
FIRE:   18 16:18:55   -30952.491657         0.495099
FIRE:   19 16:20:41   -30952.494060         0.478407
FIRE:   20 16:22:26   -30952.496909         0.458626
FIRE:   21 16:24:10   -30952.500110         0.436537
FIRE:   22 16:25:50   -30952.503568         0.413106
FIRE:   23 16:27:35   -30952.507572         0.387055
FIRE:   24 16:29:21   -30952.512068         0.360159
FIRE:   25 16:31:13   -30952.516950         0.335629
FIRE:   26 16:33:18   -30952.522069         0.317904
FIRE:   27 16:35:21   -30952.527270         0.310741
