      Step     Time          Energy          fmax
FIRE:    0 12:56:11   -30933.313701         2.355705
FIRE:    1 12:56:33   -30933.523233         1.964963
FIRE:    2 12:56:57   -30933.822731         1.294409
FIRE:    3 12:57:17   -30934.041424         1.114245
FIRE:    4 12:57:51   -30934.140947         1.294261
FIRE:    5 12:58:26   -30934.252130         1.365177
FIRE:    6 12:58:58   -30934.380826         0.735889
FIRE:    7 12:59:28   -30934.407535         0.877547
FIRE:    8 12:59:52   -30934.415314         0.829251
FIRE:    9 13:00:19   -30934.428921         0.743714
FIRE:   10 13:00:51   -30934.445087         0.609690
FIRE:   11 13:01:13   -30934.459999         0.438803
FIRE:   12 13:01:37   -30934.470991         0.265052
FIRE:   13 13:02:06   -30934.477544         0.286742
FIRE:   14 13:02:39   -30934.481161         0.325895
FIRE:   15 13:03:08   -30934.484084         0.330372
FIRE:   16 13:03:33   -30934.487357         0.318728
FIRE:   17 13:03:54   -30934.490631         0.335591
FIRE:   18 13:04:23   -30934.492345         0.291476
FIRE:   19 13:04:56   -30934.492745         0.284159
FIRE:   20 13:05:30   -30934.493507         0.269801
FIRE:   21 13:06:01   -30934.494555         0.248751
FIRE:   22 13:06:25   -30934.495790         0.221627
FIRE:   23 13:06:50   -30934.497095         0.189222
FIRE:   24 13:07:11   -30934.498357         0.152531
FIRE:   25 13:07:33   -30934.499475         0.112986
FIRE:   26 13:07:57   -30934.500458         0.076603
FIRE:   27 13:08:20   -30934.501194         0.073686
FIRE:   28 13:08:43   -30934.501638         0.070147
FIRE:   29 13:09:07   -30934.501867         0.085003
FIRE:   30 13:09:39   -30934.502048         0.115279
FIRE:   31 13:10:05   -30934.502354         0.129312
FIRE:   32 13:10:33   -30934.502878         0.123664
FIRE:   33 13:11:01   -30934.503575         0.097842
FIRE:   34 13:11:22   -30934.504293         0.072140
FIRE:   35 13:11:47   -30934.504942         0.084833
FIRE:   36 13:12:10   -30934.505638         0.082827
FIRE:   37 13:12:33   -30934.506496         0.065525
FIRE:   38 13:12:54   -30934.507169         0.042685
FIRE:   39 13:13:15   -30934.507067         0.061453
FIRE:   40 13:13:37   -30934.507156         0.055753
FIRE:   41 13:13:59   -30934.507308         0.045740
FIRE:   42 13:14:21   -30934.507480         0.037530
FIRE:   43 13:14:45   -30934.507628         0.027546
