      Step     Time          Energy          fmax
FIRE:    0 05:59:16    -7733.098324         1.109645
FIRE:    1 05:59:25    -7733.118951         0.872062
FIRE:    2 05:59:35    -7733.141565         0.444231
FIRE:    3 05:59:44    -7733.145978         0.287083
FIRE:    4 05:59:53    -7733.146215         0.273086
FIRE:    5 06:00:02    -7733.146638         0.245553
FIRE:    6 06:00:11    -7733.147157         0.205028
FIRE:    7 06:00:20    -7733.147660         0.153270
FIRE:    8 06:00:30    -7733.148044         0.094474
FIRE:    9 06:00:39    -7733.148252         0.070533
FIRE:   10 06:00:48    -7733.148309         0.090403
FIRE:   11 06:00:57    -7733.148317         0.089561
FIRE:   12 06:01:06    -7733.148332         0.087891
FIRE:   13 06:01:15    -7733.148354         0.085421
FIRE:   14 06:01:24    -7733.148382         0.082195
FIRE:   15 06:01:34    -7733.148414         0.078273
FIRE:   16 06:01:43    -7733.148451         0.073734
FIRE:   17 06:01:52    -7733.148490         0.068670
FIRE:   18 06:02:02    -7733.148536         0.062594
FIRE:   19 06:02:11    -7733.148587         0.055491
FIRE:   20 06:02:20    -7733.148642         0.047461
FIRE:   21 06:02:29    -7733.148702         0.039976
FIRE:   22 06:02:38    -7733.148765         0.048355
FIRE:   23 06:02:47    -7733.148834         0.055181
FIRE:   24 06:02:57    -7733.148910         0.059097
FIRE:   25 06:03:06    -7733.148998         0.058686
FIRE:   26 06:03:15    -7733.149098         0.052690
FIRE:   27 06:03:24    -7733.149205         0.040345
FIRE:   28 06:03:34    -7733.149304         0.022026
