      Step     Time          Energy          fmax
FIRE:    0 01:44:32    -7718.604529         3.412082
FIRE:    1 01:44:51    -7718.795948         3.155527
FIRE:    2 01:45:09    -7719.126210         2.563507
FIRE:    3 01:45:28    -7719.485721         2.117038
FIRE:    4 01:45:46    -7719.743959         2.268688
FIRE:    5 01:46:02    -7719.921827         2.729076
FIRE:    6 01:46:19    -7720.165706         2.671303
FIRE:    7 01:46:36    -7720.413464         1.873748
FIRE:    8 01:46:53    -7720.460038         1.185614
FIRE:    9 01:47:11    -7720.468437         1.138979
FIRE:   10 01:47:27    -7720.483943         1.049827
FIRE:   11 01:47:45    -7720.504256         0.927659
FIRE:   12 01:48:02    -7720.526585         0.791298
FIRE:   13 01:48:19    -7720.548358         0.670796
FIRE:   14 01:48:39    -7720.567979         0.595868
FIRE:   15 01:48:57    -7720.584632         0.566206
FIRE:   16 01:49:15    -7720.599528         0.537893
FIRE:   17 01:49:34    -7720.611997         0.460626
FIRE:   18 01:49:52    -7720.620669         0.365193
FIRE:   19 01:50:12    -7720.624407         0.439757
FIRE:   20 01:50:31    -7720.624974         0.435005
FIRE:   21 01:50:50    -7720.626094         0.425005
FIRE:   22 01:51:09    -7720.627732         0.408966
FIRE:   23 01:51:28    -7720.629836         0.386944
FIRE:   24 01:51:47    -7720.632344         0.360723
FIRE:   25 01:52:06    -7720.635191         0.342030
FIRE:   26 01:52:25    -7720.638315         0.339399
FIRE:   27 01:52:45    -7720.642030         0.336488
FIRE:   28 01:53:04    -7720.646390         0.333298
FIRE:   29 01:53:23    -7720.651469         0.329808
FIRE:   30 01:53:42    -7720.657383         0.326296
FIRE:   31 01:54:01    -7720.664309         0.323334
FIRE:   32 01:54:20    -7720.672503         0.320128
FIRE:   33 01:54:39    -7720.682274         0.313546
FIRE:   34 01:54:57    -7720.693972         0.301202
FIRE:   35 01:55:16    -7720.707883         0.276655
FIRE:   36 01:55:35    -7720.723716         0.245124
FIRE:   37 01:55:53    -7720.739697         0.198029
FIRE:   38 01:56:12    -7720.751957         0.149609
FIRE:   39 01:56:30    -7720.756460         0.121496
FIRE:   40 01:56:47    -7720.756639         0.121173
FIRE:   41 01:57:05    -7720.756980         0.121045
FIRE:   42 01:57:23    -7720.757458         0.120273
FIRE:   43 01:57:41    -7720.758039         0.118209
FIRE:   44 01:57:58    -7720.758688         0.114173
FIRE:   45 01:58:15    -7720.759369         0.107613
FIRE:   46 01:58:34    -7720.760051         0.098434
FIRE:   47 01:58:53    -7720.760771         0.085957
FIRE:   48 01:59:11    -7720.761485         0.071292
FIRE:   49 01:59:28    -7720.762136         0.056911
FIRE:   50 01:59:46    -7720.762671         0.044056
FIRE:   51 02:00:04    -7720.763058         0.042995
FIRE:   52 02:00:23    -7720.763307         0.053055
FIRE:   53 02:00:42    -7720.763469         0.056927
FIRE:   54 02:01:01    -7720.763593         0.052757
FIRE:   55 02:01:18    -7720.763676         0.043561
FIRE:   56 02:01:36    -7720.763700         0.042258
FIRE:   57 02:01:54    -7720.763743         0.039890
FIRE:   58 02:02:12    -7720.763803         0.036828
FIRE:   59 02:02:30    -7720.763873         0.033398
FIRE:   60 02:02:47    -7720.763948         0.029806
