      Step     Time          Energy          fmax
FIRE:    0 17:08:41   -30973.148198         1.859661
FIRE:    1 17:09:37   -30973.237092         1.711004
FIRE:    2 17:10:08   -30973.381549         1.427923
FIRE:    3 17:10:39   -30973.533306         1.071206
FIRE:    4 17:11:06   -30973.646324         0.751995
FIRE:    5 17:11:43   -30973.695376         0.831001
FIRE:    6 17:12:12   -30973.703896         1.046421
FIRE:    7 17:12:41   -30973.710671         1.008423
FIRE:    8 17:13:09   -30973.723197         0.934451
FIRE:    9 17:13:37   -30973.739613         0.828801
FIRE:   10 17:14:04   -30973.757564         0.698326
FIRE:   11 17:14:34   -30973.774642         0.552227
FIRE:   12 17:15:08   -30973.788844         0.403714
FIRE:   13 17:15:43   -30973.798975         0.272400
FIRE:   14 17:16:42   -30973.805266         0.212414
FIRE:   15 17:17:17   -30973.807562         0.273271
FIRE:   16 17:18:32   -30973.807842         0.271486
FIRE:   17 17:19:24   -30973.808389         0.267322
FIRE:   18 17:20:14   -30973.809172         0.261942
FIRE:   19 17:21:03   -30973.810150         0.254344
FIRE:   20 17:21:50   -30973.811275         0.245192
FIRE:   21 17:22:42   -30973.812491         0.234044
FIRE:   22 17:23:32   -30973.813743         0.221551
FIRE:   23 17:24:09   -30973.815107         0.205376
FIRE:   24 17:24:52   -30973.816519         0.185651
FIRE:   25 17:25:28   -30973.817900         0.161560
FIRE:   26 17:26:04   -30973.819170         0.132488
FIRE:   27 17:26:37   -30973.820283         0.098868
FIRE:   28 17:27:10   -30973.821250         0.120197
FIRE:   29 17:27:40   -30973.822129         0.134347
FIRE:   30 17:28:16   -30973.822970         0.136680
FIRE:   31 17:28:58   -30973.823759         0.123609
FIRE:   32 17:29:36   -30973.824408         0.095322
FIRE:   33 17:30:14   -30973.824804         0.081359
FIRE:   34 17:30:52   -30973.824901         0.092621
FIRE:   35 17:31:30   -30973.824962         0.090381
FIRE:   36 17:32:09   -30973.825078         0.086072
FIRE:   37 17:32:47   -30973.825236         0.080040
FIRE:   38 17:33:29   -30973.825419         0.072513
FIRE:   39 17:34:11   -30973.825613         0.064757
FIRE:   40 17:34:53   -30973.825802         0.057060
FIRE:   41 17:35:35   -30973.825978         0.049984
FIRE:   42 17:36:18   -30973.826151         0.043111
FIRE:   43 17:37:01   -30973.826320         0.036999
FIRE:   44 17:37:44   -30973.826478         0.034064
FIRE:   45 17:38:28   -30973.826619         0.030083
FIRE:   46 17:39:08   -30973.826724         0.023917
