      Step     Time          Energy          fmax
FIRE:    0 06:10:15    -7715.511477         4.252800
FIRE:    1 06:11:19    -7715.930521         3.934760
FIRE:    2 06:12:02    -7716.666395         3.216351
FIRE:    3 06:12:45    -7717.465548         2.864416
FIRE:    4 06:13:34    -7717.904896         2.756052
FIRE:    5 06:14:18    -7717.927535         3.525194
FIRE:    6 06:15:03    -7717.998221         3.241409
FIRE:    7 06:15:45    -7718.120641         2.727553
FIRE:    8 06:16:27    -7718.264944         2.161954
FIRE:    9 06:17:11    -7718.401565         1.977143
FIRE:   10 06:17:57    -7718.510285         1.766495
FIRE:   11 06:18:46    -7718.583713         1.526312
FIRE:   12 06:19:34    -7718.626963         1.260464
FIRE:   13 06:20:22    -7718.653124         1.219422
FIRE:   14 06:21:10    -7718.670671         1.402096
FIRE:   15 06:21:58    -7718.688733         1.425406
FIRE:   16 06:22:45    -7718.715683         1.445666
FIRE:   17 06:23:30    -7718.757597         1.787477
FIRE:   18 06:24:13    -7718.811853         1.786490
FIRE:   19 06:24:57    -7718.860398         1.330741
FIRE:   20 06:25:40    -7718.893035         1.527962
FIRE:   21 06:26:23    -7718.904598         1.418457
FIRE:   22 06:27:06    -7718.924989         1.220071
FIRE:   23 06:27:50    -7718.949728         0.974872
FIRE:   24 06:28:34    -7718.974151         0.744049
FIRE:   25 06:29:18    -7718.994877         0.602552
FIRE:   26 06:30:02    -7719.010689         0.586540
FIRE:   27 06:30:47    -7719.022642         0.633894
FIRE:   28 06:31:34    -7719.034019         0.666725
FIRE:   29 06:32:21    -7719.046974         0.643132
FIRE:   30 06:33:09    -7719.063182         0.577438
FIRE:   31 06:33:57    -7719.082497         0.546697
FIRE:   32 06:34:46    -7719.103099         0.438826
FIRE:   33 06:35:30    -7719.123503         0.564411
FIRE:   34 06:36:12    -7719.145489         0.641151
FIRE:   35 06:36:54    -7719.170605         0.506167
FIRE:   36 06:37:38    -7719.191423         0.352194
FIRE:   37 06:38:20    -7719.199313         0.539947
FIRE:   38 06:39:03    -7719.201581         0.499576
FIRE:   39 06:39:47    -7719.205516         0.424781
FIRE:   40 06:40:30    -7719.210114         0.330507
FIRE:   41 06:41:14    -7719.214317         0.249191
FIRE:   42 06:41:56    -7719.217414         0.232366
FIRE:   43 06:42:38    -7719.219390         0.277124
FIRE:   44 06:43:19    -7719.220859         0.322017
FIRE:   45 06:44:00    -7719.222740         0.335929
FIRE:   46 06:44:42    -7719.225626         0.310038
FIRE:   47 06:45:24    -7719.229692         0.261922
FIRE:   48 06:46:06    -7719.234713         0.237378
FIRE:   49 06:46:47    -7719.240483         0.258180
FIRE:   50 06:47:28    -7719.247188         0.278538
FIRE:   51 06:48:09    -7719.255271         0.286680
FIRE:   52 06:48:52    -7719.265986         0.308377
FIRE:   53 06:49:34    -7719.281711         0.305354
FIRE:   54 06:50:16    -7719.302836         0.289656
FIRE:   55 06:50:58    -7719.327840         0.322394
FIRE:   56 06:51:40    -7719.359067         0.290865
FIRE:   57 06:52:21    -7719.392785         0.224785
FIRE:   58 06:52:49    -7719.409540         0.225085
FIRE:   59 06:53:15    -7719.411680         0.195143
FIRE:   60 06:53:54    -7719.415027         0.161573
FIRE:   61 06:54:37    -7719.418345         0.129037
FIRE:   62 06:55:19    -7719.420774         0.100438
FIRE:   63 06:56:01    -7719.422039         0.102353
FIRE:   64 06:56:43    -7719.422411         0.143146
FIRE:   65 06:57:25    -7719.422526         0.138459
FIRE:   66 06:58:07    -7719.422740         0.129459
FIRE:   67 06:58:50    -7719.423020         0.116905
FIRE:   68 06:59:32    -7719.423329         0.101959
FIRE:   69 07:00:14    -7719.423630         0.086300
FIRE:   70 07:00:56    -7719.423892         0.072269
FIRE:   71 07:01:38    -7719.424102         0.062710
FIRE:   72 07:02:20    -7719.424275         0.059506
FIRE:   73 07:03:02    -7719.424423         0.062754
FIRE:   74 07:03:44    -7719.424574         0.068167
FIRE:   75 07:04:26    -7719.424769         0.070777
FIRE:   76 07:05:08    -7719.425036         0.067023
FIRE:   77 07:05:50    -7719.425375         0.055008
FIRE:   78 07:06:29    -7719.425740         0.035520
FIRE:   79 07:07:11    -7719.426061         0.033709
FIRE:   80 07:07:39    -7719.426310         0.030933
FIRE:   81 07:08:11    -7719.426529         0.041721
FIRE:   82 07:08:45    -7719.426802         0.036468
FIRE:   83 07:09:26    -7719.427206         0.028773
