      Step     Time          Energy          fmax
FIRE:    0 05:50:02    -7737.356591         0.966252
FIRE:    1 05:50:12    -7737.373881         0.781789
FIRE:    2 05:50:23    -7737.394490         0.441624
FIRE:    3 05:50:34    -7737.402042         0.128011
FIRE:    4 05:50:45    -7737.402096         0.122651
FIRE:    5 05:50:56    -7737.402194         0.112255
FIRE:    6 05:51:06    -7737.402321         0.097468
FIRE:    7 05:51:17    -7737.402458         0.079211
FIRE:    8 05:51:28    -7737.402586         0.058639
FIRE:    9 05:51:39    -7737.402693         0.039625
FIRE:   10 05:51:49    -7737.402775         0.047416
FIRE:   11 05:52:00    -7737.402850         0.055509
FIRE:   12 05:52:11    -7737.402924         0.061048
FIRE:   13 05:52:22    -7737.403004         0.061677
FIRE:   14 05:52:33    -7737.403106         0.056395
FIRE:   15 05:52:43    -7737.403223         0.046020
FIRE:   16 05:52:54    -7737.403336         0.033557
FIRE:   17 05:53:05    -7737.403431         0.028753
