      Step     Time          Energy          fmax
FIRE:    0 02:13:29    -7743.326774         1.017699
FIRE:    1 02:13:39    -7743.345467         0.821492
FIRE:    2 02:13:49    -7743.367294         0.464225
FIRE:    3 02:14:00    -7743.374345         0.187360
FIRE:    4 02:14:10    -7743.374447         0.179590
FIRE:    5 02:14:21    -7743.374633         0.164787
FIRE:    6 02:14:31    -7743.374873         0.144340
FIRE:    7 02:14:41    -7743.375133         0.119971
FIRE:    8 02:14:52    -7743.375380         0.093153
FIRE:    9 02:15:02    -7743.375595         0.064873
FIRE:   10 02:15:13    -7743.375770         0.074571
FIRE:   11 02:15:23    -7743.375927         0.088157
FIRE:   12 02:15:34    -7743.376084         0.095564
FIRE:   13 02:15:44    -7743.376271         0.093534
FIRE:   14 02:15:54    -7743.376507         0.080291
FIRE:   15 02:16:05    -7743.376764         0.057131
FIRE:   16 02:16:16    -7743.376968         0.036864
FIRE:   17 02:16:27    -7743.377057         0.041077
FIRE:   18 02:16:39    -7743.377070         0.049659
FIRE:   19 02:16:49    -7743.377084         0.045967
FIRE:   20 02:17:01    -7743.377108         0.038857
FIRE:   21 02:17:12    -7743.377136         0.028862
