      Step     Time          Energy          fmax
FIRE:    0 21:18:09   -30906.492363         3.268157
FIRE:    1 21:19:18   -30906.848515         2.860650
FIRE:    2 21:20:22   -30907.361555         2.617442
FIRE:    3 21:21:27   -30908.005489         2.280226
FIRE:    4 21:22:32   -30908.550719         2.003892
FIRE:    5 21:23:37   -30908.920723         1.547062
FIRE:    6 21:24:37   -30909.104013         2.294002
FIRE:    7 21:25:40   -30909.131555         1.795977
FIRE:    8 21:26:42   -30909.174411         1.433924
FIRE:    9 21:27:44   -30909.224464         1.124090
FIRE:   10 21:28:52   -30909.273959         0.801663
FIRE:   11 21:29:58   -30909.324203         0.492931
FIRE:   12 21:31:03   -30909.355494         0.530654
FIRE:   13 21:32:08   -30909.376209         0.541905
FIRE:   14 21:33:13   -30909.390197         0.512911
FIRE:   15 21:34:18   -30909.399482         0.628933
FIRE:   16 21:35:23   -30909.406861         0.667233
FIRE:   17 21:36:28   -30909.414289         0.621978
FIRE:   18 21:37:33   -30909.425429         0.509757
FIRE:   19 21:38:40   -30909.438654         0.481181
FIRE:   20 21:39:41   -30909.448748         0.401421
FIRE:   21 21:40:43   -30909.450225         0.382682
FIRE:   22 21:41:45   -30909.452902         0.346977
FIRE:   23 21:42:47   -30909.456290         0.297870
FIRE:   24 21:43:52   -30909.459818         0.240855
FIRE:   25 21:45:00   -30909.462972         0.183858
FIRE:   26 21:46:23   -30909.465433         0.138232
FIRE:   27 21:47:46   -30909.467156         0.146244
FIRE:   28 21:49:11   -30909.468425         0.179237
