      Step     Time          Energy          fmax
FIRE:    0 11:58:12   -30980.295496         1.873501
FIRE:    1 11:59:11   -30980.386295         1.726556
FIRE:    2 11:59:41   -30980.533653         1.442447
FIRE:    3 12:00:14   -30980.687744         1.078029
FIRE:    4 12:00:41   -30980.802345         0.762728
FIRE:    5 12:01:08   -30980.851948         0.843784
FIRE:    6 12:01:37   -30980.860342         1.056088
FIRE:    7 12:02:04   -30980.867244         1.018152
FIRE:    8 12:02:32   -30980.880012         0.943655
FIRE:    9 12:02:59   -30980.896740         0.835650
FIRE:   10 12:03:25   -30980.914990         0.701213
FIRE:   11 12:03:58   -30980.932270         0.549872
FIRE:   12 12:04:38   -30980.946511         0.395299
FIRE:   13 12:05:11   -30980.956518         0.260383
FIRE:   14 12:05:51   -30980.962533         0.212779
FIRE:   15 12:06:27   -30980.964478         0.276684
FIRE:   16 12:07:03   -30980.964760         0.274606
FIRE:   17 12:07:55   -30980.965309         0.270990
FIRE:   18 12:09:01   -30980.966096         0.265325
FIRE:   19 12:09:56   -30980.967079         0.257753
FIRE:   20 12:11:00   -30980.968208         0.248450
FIRE:   21 12:11:48   -30980.969427         0.237185
FIRE:   22 12:12:49   -30980.970680         0.224146
FIRE:   23 12:13:44   -30980.972041         0.207575
FIRE:   24 12:14:38   -30980.973445         0.186701
FIRE:   25 12:15:22   -30980.974806         0.161089
FIRE:   26 12:16:02   -30980.976041         0.130335
FIRE:   27 12:16:37   -30980.977102         0.098704
FIRE:   28 12:17:13   -30980.978001         0.121918
FIRE:   29 12:17:47   -30980.978806         0.137314
FIRE:   30 12:18:21   -30980.979585         0.139803
FIRE:   31 12:18:58   -30980.980349         0.126617
FIRE:   32 12:19:34   -30980.981029         0.097254
FIRE:   33 12:20:13   -30980.981497         0.081775
FIRE:   34 12:20:49   -30980.981667         0.091018
FIRE:   35 12:21:24   -30980.981726         0.088752
FIRE:   36 12:22:00   -30980.981837         0.084399
FIRE:   37 12:22:35   -30980.981988         0.078305
FIRE:   38 12:23:11   -30980.982164         0.070961
FIRE:   39 12:23:46   -30980.982347         0.063038
FIRE:   40 12:24:21   -30980.982526         0.055219
FIRE:   41 12:24:58   -30980.982689         0.048029
FIRE:   42 12:25:34   -30980.982850         0.041136
FIRE:   43 12:26:11   -30980.983003         0.036278
FIRE:   44 12:26:47   -30980.983147         0.032845
FIRE:   45 12:27:23   -30980.983275         0.030485
FIRE:   46 12:27:59   -30980.983369         0.024175
