      Step     Time          Energy          fmax
FIRE:    0 20:41:44   -30932.798823         1.895779
FIRE:    1 20:42:30   -30932.891984         1.722294
FIRE:    2 20:42:57   -30933.038988         1.400529
FIRE:    3 20:43:24   -30933.185687         1.016452
FIRE:    4 20:43:56   -30933.287150         0.727126
FIRE:    5 20:44:19   -30933.322950         0.860790
FIRE:    6 20:44:42   -30933.328439         0.828819
FIRE:    7 20:45:08   -30933.338420         0.767354
FIRE:    8 20:45:34   -30933.351144         0.681529
FIRE:    9 20:45:59   -30933.364544         0.578991
FIRE:   10 20:46:23   -30933.376742         0.470798
FIRE:   11 20:46:49   -30933.386534         0.372911
FIRE:   12 20:47:15   -30933.393706         0.303874
FIRE:   13 20:47:40   -30933.399315         0.271365
FIRE:   14 20:48:06   -30933.403892         0.282358
FIRE:   15 20:48:36   -30933.407895         0.311875
FIRE:   16 20:49:03   -30933.411143         0.320454
FIRE:   17 20:49:30   -30933.413083         0.287211
FIRE:   18 20:49:56   -30933.413635         0.281388
FIRE:   19 20:50:23   -30933.414680         0.269624
FIRE:   20 20:50:49   -30933.416108         0.251795
FIRE:   21 20:51:15   -30933.417769         0.228067
FIRE:   22 20:51:41   -30933.419494         0.199042
FIRE:   23 20:52:07   -30933.421114         0.165720
FIRE:   24 20:52:34   -30933.422487         0.129432
FIRE:   25 20:53:00   -30933.423599         0.087826
FIRE:   26 20:53:27   -30933.424278         0.054422
FIRE:   27 20:53:53   -30933.424450         0.081749
FIRE:   28 20:54:20   -30933.424468         0.081122
FIRE:   29 20:54:47   -30933.424504         0.079878
FIRE:   30 20:55:13   -30933.424555         0.078038
FIRE:   31 20:55:40   -30933.424619         0.075629
FIRE:   32 20:56:07   -30933.424695         0.072690
FIRE:   33 20:56:33   -30933.424778         0.069263
FIRE:   34 20:57:00   -30933.424865         0.065401
FIRE:   35 20:57:26   -30933.424964         0.060688
FIRE:   36 20:57:53   -30933.425073         0.055037
FIRE:   37 20:58:20   -30933.425189         0.048391
FIRE:   38 20:58:49   -30933.425310         0.040750
FIRE:   39 20:59:16   -30933.425436         0.032697
FIRE:   40 20:59:43   -30933.425570         0.037165
FIRE:   41 21:00:12   -30933.425717         0.040384
FIRE:   42 21:00:41   -30933.425881         0.041829
FIRE:   43 21:01:11   -30933.426065         0.040984
FIRE:   44 21:01:40   -30933.426264         0.036773
FIRE:   45 21:02:10   -30933.426471         0.029001
