      Step     Time          Energy          fmax
FIRE:    0 04:08:16    -7735.012781         2.651294
FIRE:    1 04:08:27    -7735.105923         2.499428
FIRE:    2 04:08:40    -7735.257838         2.178313
FIRE:    3 04:08:50    -7735.416292         1.689194
FIRE:    4 04:09:01    -7735.533761         1.047477
FIRE:    5 04:09:12    -7735.587058         1.295125
FIRE:    6 04:09:22    -7735.576591         1.158486
FIRE:    7 04:09:33    -7735.583567         1.096616
FIRE:    8 04:09:44    -7735.596082         0.975440
FIRE:    9 04:09:55    -7735.611579         0.801195
FIRE:   10 04:10:05    -7735.626962         0.584530
FIRE:   11 04:10:16    -7735.639335         0.428200
FIRE:   12 04:10:27    -7735.646816         0.366349
FIRE:   13 04:10:37    -7735.649360         0.382253
FIRE:   14 04:10:48    -7735.649514         0.378491
FIRE:   15 04:10:58    -7735.649816         0.371030
FIRE:   16 04:11:09    -7735.650253         0.359999
FIRE:   17 04:11:20    -7735.650808         0.345595
FIRE:   18 04:11:31    -7735.651460         0.328089
FIRE:   19 04:11:41    -7735.652185         0.307821
FIRE:   20 04:11:52    -7735.652960         0.285209
FIRE:   21 04:12:03    -7735.653846         0.258064
FIRE:   22 04:12:14    -7735.654829         0.226311
FIRE:   23 04:12:24    -7735.655892         0.206805
FIRE:   24 04:12:35    -7735.657015         0.194237
FIRE:   25 04:12:46    -7735.658201         0.181046
FIRE:   26 04:12:56    -7735.659486         0.213236
FIRE:   27 04:13:07    -7735.660951         0.241735
FIRE:   28 04:13:18    -7735.662701         0.254759
FIRE:   29 04:13:29    -7735.664819         0.247218
FIRE:   30 04:13:39    -7735.667300         0.215612
FIRE:   31 04:13:50    -7735.670007         0.160173
FIRE:   32 04:14:01    -7735.672722         0.131855
FIRE:   33 04:14:11    -7735.675348         0.150861
FIRE:   34 04:14:22    -7735.677965         0.132727
FIRE:   35 04:14:33    -7735.680427         0.085219
FIRE:   36 04:14:44    -7735.682081         0.067322
FIRE:   37 04:14:54    -7735.682714         0.104848
FIRE:   38 04:15:05    -7735.682779         0.096282
FIRE:   39 04:15:16    -7735.682885         0.080171
FIRE:   40 04:15:26    -7735.682996         0.058696
FIRE:   41 04:15:37    -7735.683076         0.036212
FIRE:   42 04:15:48    -7735.683105         0.024773
