      Step     Time          Energy          fmax
FIRE:    0 20:06:36   -30949.548080         1.842981
FIRE:    1 20:07:19   -30949.634449         1.704974
FIRE:    2 20:07:49   -30949.776658         1.425258
FIRE:    3 20:08:22   -30949.925436         1.046165
FIRE:    4 20:08:50   -30950.036672         0.721738
FIRE:    5 20:09:19   -30950.084828         0.788514
FIRE:    6 20:09:49   -30950.090724         1.012939
FIRE:    7 20:10:20   -30950.097031         0.975438
FIRE:    8 20:10:51   -30950.108681         0.902655
FIRE:    9 20:11:22   -30950.123927         0.799025
FIRE:   10 20:11:53   -30950.140566         0.671606
FIRE:   11 20:12:25   -30950.156359         0.529604
FIRE:   12 20:12:56   -30950.169467         0.387981
FIRE:   13 20:13:33   -30950.178836         0.267949
FIRE:   14 20:14:28   -30950.184747         0.205446
FIRE:   15 20:15:14   -30950.187032         0.252820
FIRE:   16 20:16:00   -30950.187285         0.251556
FIRE:   17 20:16:59   -30950.187778         0.249047
FIRE:   18 20:17:43   -30950.188485         0.245081
FIRE:   19 20:18:40   -30950.189369         0.239766
FIRE:   20 20:19:38   -30950.190385         0.233125
FIRE:   21 20:20:14   -30950.191486         0.224917
FIRE:   22 20:21:08   -30950.192623         0.215315
FIRE:   23 20:21:45   -30950.193869         0.203150
FIRE:   24 20:22:26   -30950.195173         0.187432
FIRE:   25 20:23:07   -30950.196477         0.167455
FIRE:   26 20:23:59   -30950.197723         0.142613
FIRE:   27 20:24:47   -30950.198884         0.112367
FIRE:   28 20:25:44   -30950.199971         0.116066
FIRE:   29 20:26:36   -30950.201015         0.127527
FIRE:   30 20:27:17   -30950.202023         0.127946
FIRE:   31 20:27:54   -30950.202941         0.115177
FIRE:   32 20:28:33   -30950.203673         0.090246
FIRE:   33 20:29:13   -30950.204154         0.079392
FIRE:   34 20:30:11   -30950.204335         0.088055
FIRE:   35 20:31:03   -30950.204389         0.085723
FIRE:   36 20:31:53   -30950.204489         0.081113
FIRE:   37 20:32:55   -30950.204628         0.075054
FIRE:   38 20:33:49   -30950.204788         0.067779
FIRE:   39 20:34:48   -30950.204955         0.059914
FIRE:   40 20:35:42   -30950.205119         0.052406
FIRE:   41 20:36:20   -30950.205273         0.045832
FIRE:   42 20:37:01   -30950.205423         0.039659
FIRE:   43 20:37:43   -30950.205579         0.037955
FIRE:   44 20:38:36   -30950.205730         0.035490
FIRE:   45 20:39:33   -30950.205873         0.029969
