      Step     Time          Energy          fmax
FIRE:    0 11:27:48   -30965.708531         2.193745
FIRE:    1 11:28:45   -30966.024495         2.072878
FIRE:    2 11:29:39   -30966.588412         1.836901
FIRE:    3 11:30:32   -30967.282324         1.588726
FIRE:    4 11:31:26   -30967.958823         1.273589
FIRE:    5 11:32:11   -30968.406082         0.934197
FIRE:    6 11:32:52   -30968.562061         0.810905
FIRE:    7 11:33:33   -30968.568641         0.777390
FIRE:    8 11:34:15   -30968.580511         0.711957
FIRE:    9 11:34:56   -30968.595402         0.617699
FIRE:   10 11:35:37   -30968.610598         0.499310
FIRE:   11 11:36:17   -30968.623576         0.364200
FIRE:   12 11:36:59   -30968.632618         0.228339
FIRE:   13 11:37:41   -30968.637321         0.185189
FIRE:   14 11:38:26   -30968.638700         0.233319
FIRE:   15 11:39:13   -30968.638938         0.229037
FIRE:   16 11:39:58   -30968.639400         0.220585
FIRE:   17 11:40:43   -30968.640056         0.208188
FIRE:   18 11:41:28   -30968.640866         0.192203
FIRE:   19 11:42:13   -30968.641778         0.173125
FIRE:   20 11:42:57   -30968.642741         0.151588
FIRE:   21 11:43:42   -30968.643701         0.128462
FIRE:   22 11:44:23   -30968.644701         0.102406
FIRE:   23 11:45:05   -30968.645672         0.091858
FIRE:   24 11:45:47   -30968.646537         0.088062
FIRE:   25 11:46:28   -30968.647242         0.083107
FIRE:   26 11:47:10   -30968.647793         0.087766
FIRE:   27 11:47:51   -30968.648271         0.105314
FIRE:   28 11:48:35   -30968.648789         0.116970
FIRE:   29 11:49:15   -30968.649429         0.118220
FIRE:   30 11:49:56   -30968.650173         0.105029
FIRE:   31 11:50:37   -30968.650882         0.075174
FIRE:   32 11:51:17   -30968.651360         0.057890
FIRE:   33 11:51:58   -30968.651514         0.057744
FIRE:   34 11:52:38   -30968.651559         0.054600
FIRE:   35 11:53:20   -30968.651641         0.051393
FIRE:   36 11:54:01   -30968.651750         0.047318
FIRE:   37 11:54:43   -30968.651872         0.043427
FIRE:   38 11:55:24   -30968.651993         0.039970
FIRE:   39 11:56:06   -30968.652103         0.036196
FIRE:   40 11:56:48   -30968.652197         0.032241
FIRE:   41 11:57:30   -30968.652285         0.027820
