      Step     Time          Energy          fmax
FIRE:    0 02:25:15    -7726.632053         4.162105
FIRE:    1 02:26:32    -7727.041185         3.912597
FIRE:    2 02:27:24    -7727.769956         3.276876
FIRE:    3 02:28:27    -7728.591348         2.882325
FIRE:    4 02:29:28    -7729.094630         2.788579
FIRE:    5 02:30:23    -7729.176691         3.096805
FIRE:    6 02:31:17    -7729.235075         2.861525
FIRE:    7 02:32:12    -7729.338037         2.431859
FIRE:    8 02:33:02    -7729.463422         2.263187
FIRE:    9 02:33:55    -7729.588474         2.100419
FIRE:   10 02:34:50    -7729.696426         1.902858
FIRE:   11 02:35:48    -7729.779182         1.660755
FIRE:   12 02:36:46    -7729.837515         1.371935
FIRE:   13 02:37:44    -7729.880320         1.041413
FIRE:   14 02:38:43    -7729.909781         1.226489
FIRE:   15 02:39:41    -7729.929629         1.276047
FIRE:   16 02:40:39    -7729.934062         1.255648
FIRE:   17 02:41:37    -7729.942644         1.214972
FIRE:   18 02:42:35    -7729.954824         1.154300
FIRE:   19 02:43:33    -7729.969821         1.074144
FIRE:   20 02:44:31    -7729.986649         0.975437
FIRE:   21 02:45:29    -7730.004188         0.859987
FIRE:   22 02:46:26    -7730.021305         0.730657
FIRE:   23 02:47:23    -7730.038514         0.684920
FIRE:   24 02:48:21    -7730.054272         0.657912
FIRE:   25 02:49:19    -7730.067169         0.644911
FIRE:   26 02:50:12    -7730.077057         0.646757
FIRE:   27 02:51:06    -7730.086040         0.690073
FIRE:   28 02:51:59    -7730.098177         0.771548
FIRE:   29 02:52:52    -7730.117732         0.734439
FIRE:   30 02:53:45    -7730.146356         0.665440
FIRE:   31 02:54:41    -7730.181006         0.564823
FIRE:   32 02:55:38    -7730.215128         0.537489
FIRE:   33 02:56:35    -7730.245435         0.572216
FIRE:   34 02:57:34    -7730.278676         0.623390
FIRE:   35 02:58:33    -7730.323976         0.597904
FIRE:   36 02:59:32    -7730.377041         0.424158
FIRE:   37 03:00:25    -7730.416779         0.410692
FIRE:   38 03:01:15    -7730.438299         0.415048
FIRE:   39 03:02:08    -7730.447637         0.388144
FIRE:   40 03:03:00    -7730.449330         0.370217
FIRE:   41 03:03:52    -7730.452393         0.335500
FIRE:   42 03:04:43    -7730.456300         0.286679
FIRE:   43 03:05:32    -7730.460518         0.228839
FIRE:   44 03:06:22    -7730.464701         0.238453
FIRE:   45 03:07:15    -7730.468795         0.251909
FIRE:   46 03:08:07    -7730.472967         0.257559
FIRE:   47 03:09:02    -7730.477948         0.254429
FIRE:   48 03:09:55    -7730.484099         0.248230
FIRE:   49 03:10:49    -7730.491683         0.245495
FIRE:   50 03:11:42    -7730.500760         0.255820
FIRE:   51 03:12:32    -7730.511556         0.282645
FIRE:   52 03:13:22    -7730.524968         0.308063
FIRE:   53 03:14:12    -7730.542205         0.316840
FIRE:   54 03:15:02    -7730.563196         0.303574
FIRE:   55 03:15:50    -7730.586273         0.254476
FIRE:   56 03:16:41    -7730.607545         0.167377
FIRE:   57 03:17:27    -7730.616428         0.235366
FIRE:   58 03:18:20    -7730.617578         0.224108
FIRE:   59 03:19:12    -7730.619561         0.202135
FIRE:   60 03:20:05    -7730.621872         0.170692
FIRE:   61 03:20:57    -7730.624011         0.131182
FIRE:   62 03:21:50    -7730.625622         0.086773
FIRE:   63 03:22:44    -7730.626535         0.059572
FIRE:   64 03:23:38    -7730.626781         0.073687
FIRE:   65 03:24:32    -7730.626810         0.072414
FIRE:   66 03:25:26    -7730.626866         0.069938
FIRE:   67 03:26:20    -7730.626943         0.066397
FIRE:   68 03:27:15    -7730.627035         0.061991
FIRE:   69 03:28:09    -7730.627135         0.056981
FIRE:   70 03:29:04    -7730.627235         0.051675
FIRE:   71 03:29:58    -7730.627330         0.046418
FIRE:   72 03:30:53    -7730.627424         0.041086
FIRE:   73 03:31:47    -7730.627511         0.036271
FIRE:   74 03:32:41    -7730.627591         0.032703
FIRE:   75 03:33:35    -7730.627666         0.030839
FIRE:   76 03:34:29    -7730.627743         0.030248
FIRE:   77 03:35:23    -7730.627828         0.029403
