      Step     Time          Energy          fmax
FIRE:    0 02:03:03    -7735.026331         1.078079
FIRE:    1 02:03:13    -7735.046425         0.857311
FIRE:    2 02:03:24    -7735.068818         0.458282
FIRE:    3 02:03:34    -7735.074054         0.283400
FIRE:    4 02:03:45    -7735.074269         0.270829
FIRE:    5 02:03:55    -7735.074658         0.246190
FIRE:    6 02:04:05    -7735.075146         0.210400
FIRE:    7 02:04:16    -7735.075645         0.165009
FIRE:    8 02:04:26    -7735.076071         0.112945
FIRE:    9 02:04:37    -7735.076374         0.082920
FIRE:   10 02:04:47    -7735.076561         0.103986
FIRE:   11 02:04:57    -7735.076705         0.118362
FIRE:   12 02:05:08    -7735.076883         0.121977
FIRE:   13 02:05:18    -7735.077172         0.112094
FIRE:   14 02:05:28    -7735.077581         0.087995
FIRE:   15 02:05:39    -7735.078009         0.060266
FIRE:   16 02:05:50    -7735.078271         0.036407
FIRE:   17 02:06:00    -7735.078301         0.074642
FIRE:   18 02:06:11    -7735.078321         0.070320
FIRE:   19 02:06:21    -7735.078357         0.061947
FIRE:   20 02:06:32    -7735.078400         0.050058
FIRE:   21 02:06:42    -7735.078440         0.035423
FIRE:   22 02:06:52    -7735.078469         0.019042
